classe_bilan_dpe,code_departement_insee,annee_construction_dpe,version,surface_habitable_logement,type_installation_chauffage,type_energie_chauffage,type_generateur_chauffage,type_generateur_chauffage_anciennete,nb_generateur_chauffage,nb_installation_chauffage,type_generateur_climatisation,type_generateur_climatisation_anciennete,type_installation_ecs,type_energie_ecs,type_generateur_ecs,type_generateur_ecs_anciennete,ecs_solaire,nb_generateur_ecs,nb_installation_ecs,plusieurs_facade_exposee,type_ventilation,type_production_energie_renouvelable,type_vitrage,type_materiaux_menuiserie,type_gaz_lame,type_fermeture,vitrage_vir,surface_vitree_nord,surface_vitree_sud,surface_vitree_ouest,surface_vitree_est,traversant,facteur_solaire_baie_vitree,presence_balcon,l_orientation_baie_vitree,type_isolation_mur_exterieur,materiaux_structure_mur_exterieur,epaisseur_structure_mur_exterieur,surface_mur_totale,surface_mur_exterieur,surface_mur_deperditif,local_non_chauffe_principal_mur,l_orientation_mur_exterieur,type_isolation_plancher_bas,type_plancher_bas_deperditif,surface_plancher_bas_totale,surface_plancher_bas_deperditif,local_non_chauffe_principal_plancher_bas,type_adjacence_principal_plancher_bas,type_isolation_plancher_haut,type_plancher_haut_deperditif,surface_plancher_haut_totale,surface_plancher_haut_deperditif,local_non_chauffe_principal_plancher_haut,type_adjacence_principal_plancher_haut,type_porte,surface_porte,classe_inertie
A,83.0,2021,2.1,66.39,individuel,electricite,pac air/air,neuf,3.0,3.0,pac air/air,neuf,individuel,electricite,ecs thermodynamique electrique(pac ou ballon),neuf,0.0,1.0,1.0,0.0,Ventilation mécanique à extraction hygroréglable,unknown,double vitrage,pvc,argon ou krypton,"Fermeture sans ajours en position déployée, volets roulants alu",0.0,20.04097566956837,24.590677428633388,11.62,23.617383507017973,non traversant,0.44,1.0,1.0,ITI,murs en béton banché,35.0,41.48,19.63,19.63,circulation sans ouverture directe sur l'extérieur,1.0,inconnu,unknown,66.39,155.00437590958984,unknown,local non déperditif ( local à usage d'habitation chauffé),inconnu,dalle béton,66.39,66.39,comble fortement ventilé,comble fortement ventilé,porte simple en bois porte avec moins de 30% de vitrage simple,1.9,Légère
A,34.0,1949,2.0,47.0,individuel,electricite,pac air/air,neuf,1.0,1.0,pac air/air,neuf,individuel,electricite,ecs thermodynamique electrique(pac ou ballon),neuf,0.0,1.0,1.0,0.0,Ventilation mécanique auto réglable « après 1982 »,unknown,double vitrage,métal avec rupture de pont thermique,argon ou krypton,"Fermeture sans ajours en position déployée, volets roulants alu",1.0,20.04097566956837,4.8552,26.09274928090764,23.617383507017973,non traversant,0.44,0.0,1.0,non isole,murs en pierre de taille et moellons constitué d'un seul matériaux,45.0,21.9713,14.52,21.9713,circulation avec ouverture directe sur l'extérieur,1.0,unknown,unknown,122.06006214642329,155.00437590958984,unknown,unknown,ITI,combles aménagés sous rampant,39.3448,39.3448,unknown,extérieur,porte simple en bois porte opaque pleine,1.66,Légère
A,13.0,0,2.1,67.22,individuel,electricite,generateurs a effet joule,unknown,1.0,1.0,unknown,unknown,individuel,electricite,ecs thermodynamique electrique(pac ou ballon),neuf,0.0,1.0,1.0,1.0,Ventilation mécanique à extraction hygroréglable,unknown,double vitrage,pvc,argon ou krypton,Volet roulant PVC ( e ≤ 12 mm),1.0,20.04097566956837,8.98,1.84,1.84,tout azimut,0.39,0.0,3.0,ITI+ITE,murs en béton banché,30.0,91.24,47.02,47.02,circulation sans ouverture directe sur l'extérieur,3.0,ITE,dalle béton,67.22,67.22,garage,garage,non isole,unknown,67.22,151.9929136538324,unknown,local non déperditif ( local à usage d'habitation chauffé),porte simple en bois porte opaque pleine,1.9,Lourde
A,90.0,1998,2.1,118.05,individuel,electricite,pac air/eau,neuf,1.0,1.0,unknown,unknown,individuel,electricite,ecs thermodynamique electrique(pac ou ballon),neuf,0.0,1.0,1.0,1.0,Ventilation mécanique auto réglable « après 1982 »,unknown,double vitrage,pvc,argon ou krypton,"Fermeture sans ajours en position déployée, volets roulants alu",1.0,2.7119,4.8969,26.09274928090764,6.28,tout azimut,0.38,0.0,3.0,ITI+ITE,murs en blocs de béton creux,20.0,122.1,80.5375,80.5375,unknown,3.0,ITI+ITE,unknown,74.0,155.00437590958984,unknown,local non déperditif ( local à usage d'habitation chauffé),ITE,combles aménagés sous rampant,83.4462,83.4462,comble faiblement ventilé,extérieur,porte simple en pvc porte avec double vitrage,1.89,Légère
A,92.0,1930,2.0,236.470001220703,individuel,electricite,pac air/eau,neuf,1.0,1.0,unknown,unknown,individuel,electricite,ecs thermodynamique electrique(pac ou ballon),neuf,0.0,1.0,1.0,1.0,Ventilation mécanique auto réglable « après 1982 »,unknown,double vitrage,métal avec rupture de pont thermique,argon ou krypton,abscence de fermeture pour la baie vitrée,0.0,6.8,24.73,40.83,20.25,tout azimut,0.56,0.0,4.0,ITI,murs en briques pleines simples,23.0,228.0784,156.5912,228.0784,circulation avec ouverture directe sur l'extérieur,4.0,ITI,dalle béton,137.05,137.05,unknown,terre-plein,ITI,plafond bois sous solives bois,85.89,85.89,unknown,extérieur,unknown,7.928796003151214,Moyenne
A,13.0,0,2.1,53.46,individuel,electricite,generateurs a effet joule,unknown,1.0,1.0,unknown,unknown,individuel,solaire,ecs solaire,unknown,1.0,1.0,1.0,1.0,unknown,unknown,double vitrage,métal avec rupture de pont thermique,argon ou krypton,Volet roulant PVC ( e ≤ 12 mm),0.0,20.04097566956837,24.590677428633388,26.09274928090764,8.0,non traversant,0.51,1.0,1.0,ITI,murs en béton banché,20.0,97.04,27.76,27.76,circulation sans ouverture directe sur l'extérieur,2.0,non isole,unknown,53.46,155.00437590958984,unknown,local non déperditif ( local à usage d'habitation chauffé),non isole,unknown,53.46,151.9929136538324,unknown,local non déperditif ( local à usage d'habitation chauffé),toute menuiserie porte précédée d’un sas,2.0,Très Lourde
A,73.0,1948,2.0,53.0,collectif,reseau de chaleur,reseau de chaleur,unknown,1.0,1.0,unknown,unknown,collectif,reseau de chaleur,reseau de chaleur,unknown,0.0,1.0,1.0,0.0,Ventilation mécanique à extraction hygroréglable,unknown,double vitrage,pvc,air sec,Volet roulant PVC ( e ≤ 12 mm),0.0,20.04097566956837,7.11,26.09274928090764,23.617383507017973,non traversant,0.44,0.0,1.0,ITE,murs en béton banché,20.0,67.97,13.89,13.89,circulation sans ouverture directe sur l'extérieur,1.0,non isole,unknown,25.0,155.00437590958984,unknown,local non déperditif ( local à usage d'habitation chauffé),non isole,unknown,25.0,151.9929136538324,unknown,local non déperditif ( local à usage d'habitation chauffé),autre type de porte,1.9,Lourde
A,31.0,1994,2.1,69.92,individuel,electricite,pac air/eau,neuf,4.0,4.0,unknown,unknown,individuel,electricite,ecs thermodynamique electrique(pac ou ballon),neuf,0.0,4.0,4.0,1.0,Ventilation mécanique à extraction hygroréglable,unknown,double vitrage,pvc,air sec,Volet roulant PVC ( e ≤ 12 mm),0.0,35.55,40.05,134.9436,124.9236,tout azimut,0.46,0.0,4.0,ITI,murs en briques creuses,20.0,1089.91,755.31,1089.91,circulation avec ouverture directe sur l'extérieur,4.0,non isole,dalle béton,2734.0,727.0,unknown,local non déperditif ( local à usage d'habitation chauffé),ITE,plafond en plaque de plâtre,2734.0,744.0,comble faiblement ventilé,local non déperditif ( local à usage d'habitation chauffé),toute menuiserie porte opaque pleine isolée,77.9,Lourde
A,1.0,2016,2.1,66.12,individuel,electricite,pac air/eau,neuf,1.0,1.0,unknown,unknown,individuel,electricite,ecs thermodynamique electrique(pac ou ballon),neuf,0.0,1.0,1.0,1.0,Ventilation mécanique à extraction hygroréglable,unknown,double vitrage,pvc,air sec,"Fermeture sans ajours en position déployée, volets roulants alu",1.0,1.75,1.46,26.09274928090764,7.09,tout azimut,0.39,0.0,3.0,ITI,murs en blocs de béton creux,20.0,45.66,6.49,22.46,autres dépendances,3.0,ITE,dalle béton,66.12,66.12,unknown,terre-plein,inconnu,unknown,66.12,151.9929136538324,unknown,local non déperditif ( local à usage d'habitation chauffé),toute menuiserie porte isolée avec double vitrage,2.34,Moyenne
A,3.0,1978,2.0,32.22,collectif,reseau de chaleur,reseau de chaleur,unknown,1.0,1.0,unknown,unknown,collectif,reseau de chaleur,reseau de chaleur,unknown,0.0,1.0,1.0,0.0,Ventilation mécanique double flux,unknown,double vitrage,pvc,argon ou krypton,Volet roulant PVC ( e > 12 mm),1.0,20.04097566956837,24.590677428633388,6.0,23.617383507017973,non traversant,0.39,0.0,1.0,ITI+ITE,murs en béton banché,20.0,50.1468,7.8,7.8,unknown,1.0,ITE,unknown,32.23,155.00437590958984,unknown,local non déperditif ( local à usage d'habitation chauffé),non isole,unknown,32.23,151.9929136538324,unknown,local non déperditif ( local à usage d'habitation chauffé),porte simple en bois porte opaque pleine,1.6932,Lourde
